downloadTime,stationId,stationName,brand,company,address,city,province,lat,lng,fuel,fuelId,price,isSelf,insertDate,validityDate,serviceCount,serviceNames
2026-07-30T11:01:57.765590,6036,eni/agip,AgipEni,SOCIETA' CARBOLUBRIFICANTI DI PUCCIO VINCENZO MANLIO S.A.S.,"117 bis Centrale Sicula, Km. 85+625, gela-catania - - 93012 GELA (CL)",GELA,CL,37.11681877503247,14.286751449108124,GPL,4,0.884,False,2026-07-27T19:50:02Z,2026-07-27T19:50:02Z,1,Bancomat
2026-07-30T11:01:57.765590,6036,eni/agip,AgipEni,SOCIETA' CARBOLUBRIFICANTI DI PUCCIO VINCENZO MANLIO S.A.S.,"117 bis Centrale Sicula, Km. 85+625, gela-catania - - 93012 GELA (CL)",GELA,CL,37.11681877503247,14.286751449108124,Blue Diesel,20,2.054,False,2026-07-27T19:50:02Z,2026-07-27T19:50:02Z,1,Bancomat
2026-07-30T11:01:57.765590,41956,CL003 - EOS,Q8,EOS SERVICES S.R.L. A SOCIO UNICO,VIA VENEZIA 375 - 93012 GELA (CL),GELA,CL,37.079405656066676,14.235341398811329,Benzina,1,2.299,False,2026-07-27T13:27:08Z,2026-07-27T13:27:08Z,1,Bancomat
2026-07-30T11:01:57.765590,41956,CL003 - EOS,Q8,EOS SERVICES S.R.L. A SOCIO UNICO,VIA VENEZIA 375 - 93012 GELA (CL),GELA,CL,37.079405656066676,14.235341398811329,Benzina,1,1.999,True,2026-07-27T13:27:08Z,2026-07-27T13:27:08Z,1,Bancomat
2026-07-30T11:01:57.765590,41956,CL003 - EOS,Q8,EOS SERVICES S.R.L. A SOCIO UNICO,VIA VENEZIA 375 - 93012 GELA (CL),GELA,CL,37.079405656066676,14.235341398811329,Gasolio,2,2.499,False,2026-07-27T13:27:08Z,2026-07-27T13:27:08Z,1,Bancomat
2026-07-30T11:01:57.765590,41956,CL003 - EOS,Q8,EOS SERVICES S.R.L. A SOCIO UNICO,VIA VENEZIA 375 - 93012 GELA (CL),GELA,CL,37.079405656066676,14.235341398811329,Gasolio,2,2.199,True,2026-07-27T13:27:08Z,2026-07-27T13:27:08Z,1,Bancomat
2026-07-30T11:01:57.765590,41956,CL003 - EOS,Q8,EOS SERVICES S.R.L. A SOCIO UNICO,VIA VENEZIA 375 - 93012 GELA (CL),GELA,CL,37.079405656066676,14.235341398811329,Hi-Q Diesel,6,2.699,False,2026-07-27T13:27:08Z,2026-07-27T13:27:08Z,1,Bancomat
2026-07-30T11:01:57.765590,41956,CL003 - EOS,Q8,EOS SERVICES S.R.L. A SOCIO UNICO,VIA VENEZIA 375 - 93012 GELA (CL),GELA,CL,37.079405656066676,14.235341398811329,Hi-Q Diesel,6,2.399,True,2026-07-27T13:27:08Z,2026-07-27T13:27:08Z,1,Bancomat
2026-07-30T11:01:57.765590,43416,CO.ME.CO.,PompeBianche,COMPAGNIA MERIDIONALE COMBUSTIBILI DI DE SALVO CARMELO E C.S.N.C. IN SIGLA CO.ME.CO. DI DE SALVO CARMELO E C. S.N.C.,EX S.P.11 KM.0+980 LATO SX SN - 93015 NISCEMI (CL),NISCEMI,CL,37.13374869166792,14.396112224536864,Benzina,1,1.995,False,2026-07-30T08:49:46Z,2026-07-30T08:48:00Z,2,"Food&Beverage, Bancomat"
2026-07-30T11:01:57.765590,43416,CO.ME.CO.,PompeBianche,COMPAGNIA MERIDIONALE COMBUSTIBILI DI DE SALVO CARMELO E C.S.N.C. IN SIGLA CO.ME.CO. DI DE SALVO CARMELO E C. S.N.C.,EX S.P.11 KM.0+980 LATO SX SN - 93015 NISCEMI (CL),NISCEMI,CL,37.13374869166792,14.396112224536864,Gasolio,2,2.065,False,2026-07-30T08:49:46Z,2026-07-30T08:48:00Z,2,"Food&Beverage, Bancomat"
2026-07-30T11:01:57.765590,43416,CO.ME.CO.,PompeBianche,COMPAGNIA MERIDIONALE COMBUSTIBILI DI DE SALVO CARMELO E C.S.N.C. IN SIGLA CO.ME.CO. DI DE SALVO CARMELO E C. S.N.C.,EX S.P.11 KM.0+980 LATO SX SN - 93015 NISCEMI (CL),NISCEMI,CL,37.13374869166792,14.396112224536864,GPL,4,0.785,False,2026-07-30T08:49:46Z,2026-07-30T08:48:00Z,2,"Food&Beverage, Bancomat"
2026-07-30T11:01:57.765590,44953,IMPIANTO ENI ,AgipEni,DI PASQUALE S.A.S. DI DI PASQUALE FRANCESCO & C.,MARIO GORI SN - 93015 NISCEMI (CL),NISCEMI,CL,37.14644319589391,14.393928334358634,Benzina,1,2.249,False,2026-07-30T06:06:14Z,2026-07-30T06:06:14Z,0,
2026-07-30T11:01:57.765590,44953,IMPIANTO ENI ,AgipEni,DI PASQUALE S.A.S. DI DI PASQUALE FRANCESCO & C.,MARIO GORI SN - 93015 NISCEMI (CL),NISCEMI,CL,37.14644319589391,14.393928334358634,Benzina,1,2.039,True,2026-07-30T06:06:14Z,2026-07-30T06:06:14Z,0,
2026-07-30T11:01:57.765590,44953,IMPIANTO ENI ,AgipEni,DI PASQUALE S.A.S. DI DI PASQUALE FRANCESCO & C.,MARIO GORI SN - 93015 NISCEMI (CL),NISCEMI,CL,37.14644319589391,14.393928334358634,Gasolio,2,2.279,False,2026-07-30T06:06:14Z,2026-07-30T06:06:14Z,0,
2026-07-30T11:01:57.765590,44953,IMPIANTO ENI ,AgipEni,DI PASQUALE S.A.S. DI DI PASQUALE FRANCESCO & C.,MARIO GORI SN - 93015 NISCEMI (CL),NISCEMI,CL,37.14644319589391,14.393928334358634,Gasolio,2,2.069,True,2026-07-30T06:06:14Z,2026-07-30T06:06:14Z,0,
